Number,Transaction
Normal line # 3 Defense #3 is empty.
PP line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Defense #1 is empty.
Extra Defense #4 is empty.
Backup Goalie is empty.

20161,<font color="Black">[2015-01-19 17:35:50] - Auto Lines Partial Function has been run for Capitals.</font>
20162,[2015-01-19 17:36:19] - Mikael Granlund from City Barons has scored a Hat Trick!
20163,<font color="Red">[2015-01-19 17:36:19] - Game 684 - Trevor Smith from Rangers is injured  (Fractured Left Foot) and is out for 3 weeks.</font>
20164,<font color="Red">[2015-01-19 17:36:19] - Game 684 - Carl Hagelin from Senators is injured  (Torso) and is out for 1 week.</font>
20165,[2015-01-19 17:36:19] - Antoine Vermette from Senators has scored a Hat Trick!
20166,<font color="Red">[2015-01-19 17:36:19] - Game 689 - John Tavares from Lightning is injured  (Severed Right Wrist Tendon) and is out for 2 weeks.</font>
20167,<font color="Red">[2015-01-19 17:36:19] - Game 690 - Keaton Ellerby from Coyotes is injured  (Right Foot) and is out for 1 week.</font>
20168,<font color="Red">[2015-01-19 17:36:19] - Game 691 - Mark Arcobello from Bruins is injured  (Groin) and is out for 1 week.</font>
20169,[2015-01-19 17:36:19] - Last 7 Days Pro Star : 1 - Joe Pavelski of Stars (3-8-11) / 2 - Martin St. Louis of Blues (4-3-7) / 3 - James Wisniewski of Red Wings (2-6-8)
20170,[2015-01-19 17:36:19] - Last 7 Days Farm Star : 1 - Tomas Hertl of Crunch (8-6-14) / 2 - Sean Monahan of Crunch (6-6-12) / 3 - Joe Colborne of Crunch (5-5-10)
20171,[2015-01-19 17:36:19] - Crunch lines for next game are empty. Current rosters/lines are not erased.
20172,[2015-01-19 17:36:19] - Bruins lines for next game are empty. Current rosters/lines are not erased.
20173,[2015-01-19 17:36:19] - Heat lines for next game are empty. Current rosters/lines are not erased.
20174,[2015-01-19 17:36:19] - Monsters lines for next game are empty. Current rosters/lines are not erased.
20175,[2015-01-19 17:36:19] - Falcons lines for next game are empty. Current rosters/lines are not erased.
20176,[2015-01-19 17:36:19] - Griffins lines for next game are empty. Current rosters/lines are not erased.
20177,[2015-01-19 17:36:19] - Rampage lines for next game are empty. Current rosters/lines are not erased.
20178,[2015-01-19 17:36:19] - Monarchs lines for next game are empty. Current rosters/lines are not erased.
20179,[2015-01-19 17:36:19] - Canadiens lines for next game are empty. Current rosters/lines are not erased.
20180,[2015-01-19 17:36:19] - Predators lines for next game are empty. Current rosters/lines are not erased.
20181,[2015-01-19 17:36:19] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20182,[2015-01-19 17:36:19] - Senators lines for next game are empty. Current rosters/lines are not erased.
20183,[2015-01-19 17:36:19] - Senators lines for next game are empty. Current rosters/lines are not erased.
20184,[2015-01-19 17:36:19] - Coyotes lines for next game are empty. Current rosters/lines are not erased.
20185,[2015-01-19 17:36:19] - Penguins lines for next game are empty. Current rosters/lines are not erased.
20186,[2015-01-19 17:36:19] - Penguins lines for next game are empty. Current rosters/lines are not erased.
20187,[2015-01-19 17:36:19] - Lightning lines for next game are empty. Current rosters/lines are not erased.
20188,[2015-01-19 17:36:19] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20189,[2015-01-19 17:36:19] - Marlies lines for next game are empty. Current rosters/lines are not erased.
20190,[2015-01-19 17:36:19] - Canucks lines for next game are empty. Current rosters/lines are not erased.
20191,[2015-01-19 17:36:19] - Bears lines for next game are empty. Current rosters/lines are not erased.
20192,<font color="#0080C0">[2015-01-19 17:36:19] - Brandon Mashinter was not claimed from waiver and was sent to farm.</font>
20193,<font color="Red">[2015-01-19 17:36:19] - Jordan Eberle from Jets is back from Bruised Left Arm Injury.</font>
20194,<font color="Red">[2015-01-19 17:36:19] - Thomas Greiss from Canucks is back from Bruised Left Foot Injury.</font>
20195,[2015-01-19 17:36:20] - Current fund for Jets is under 0 kr.
20196,[2015-01-19 17:36:21] - Current fund for Panthers is under 0 kr.
20197,[2015-01-19 17:36:21] - Current fund for Senators is under 0 kr.
20198,[2015-01-19 17:36:22] - Current fund for Penguins is under 0 kr.
20199,[2015-01-19 17:36:22] - Current fund for Canucks is under 0 kr.
20200,[2015-01-19 17:38:28] - Current fund for Senators is under 0 kr.
20201,[2015-01-19 17:39:39] - Nicholas Shore average salary was modify from 0 kr to 925.000 kr.
20202,[2015-01-19 17:39:39] - Nicholas Shore was created.
20203,<font color="#FF8000">[2015-01-19 17:39:41] - Nicholas Shore was added to Senators.</font>
20204,[2015-01-19 17:39:43] - Senators roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20205,[2015-01-19 17:39:45] - Nicholas Shore of Senators was sent to farm.
20206,<font color="#FF8000">[2015-01-19 17:40:40] - Marcel Goc was added to Canadiens.</font>
20207,<font color="#FF8000">[2015-01-19 17:40:40] - Mikko Koivu was added to Ducks.</font>
20208,<font color="#FF8000">[2015-01-19 17:40:41] - TRADE : From Ducks to Canadiens : Marcel Goc (67)- Eric Roy (P)- Y:2015-RND:1-ANH.</font>
20209,<font color="#FF8000">[2015-01-19 17:40:41] - TRADE : From Canadiens to Ducks : Mikko Koivu (73).</font>
20210,[2015-01-19 17:40:52] - Current fund for Jets is under 0 kr.
20211,[2015-01-19 17:40:52] - Current fund for Panthers is under 0 kr.
20212,[2015-01-19 17:40:53] - Current fund for Senators is under 0 kr.
20213,[2015-01-19 17:40:54] - Current fund for Penguins is under 0 kr.
20214,[2015-01-19 17:40:54] - Current fund for Canucks is under 0 kr.
20215,<font color="Black">[2015-01-20 17:25:40] - Successfully loaded Ducks lines done with STHS Client - 2.2.7.7</font>
20216,<font color="Black">[2015-01-20 17:25:40] - Louis Leblanc of Jets was sent to pro.</font>
20217,<font color="Black">[2015-01-20 17:25:40] - Successfully loaded Jets lines done with STHS Client - 2.2.7.7</font>
20218,<font color="Black">[2015-01-20 17:25:40] - Successfully loaded Bruins lines done with STHS Client - 2.2.7.7</font>
20219,<font color="Black">[2015-01-20 17:25:44] - Successfully loaded Wild lines done with STHS Client - 2.2.7.7</font>
20220,<font color="Black">[2015-01-20 17:25:45] - Successfully loaded Canadiens lines done with STHS Client - 2.2.7.7</font>
20221,<font color="Black">[2015-01-20 17:25:45] - Tyler Toffoli of Senators was sent to pro.</font>
20222,<font color="Black">[2015-01-20 17:25:45] - Successfully loaded Senators lines done with STHS Client - 2.2.7.7</font>
20223,<font color="#0080C0">[2015-01-20 17:25:47] - Coyotes sent Stephen Weiss to waiver.</font>
20224,[2015-01-20 17:25:48] - Stephen Weiss of Coyotes was sent to farm.
20225,<font color="Black">[2015-01-20 17:25:48] - Successfully loaded Coyotes lines done with STHS Client - 2.2.7.7</font>
20226,<font color="Black">[2015-01-20 17:25:51] - Successfully loaded Lightning lines done with STHS Client - 2.2.6.6</font>
20227,[2015-01-20 17:28:57] - Anthony Stewart from Pirates has scored a Hat Trick!
20228,[2015-01-20 17:28:57] - Bracken Kearns from Sharks has scored a Hat Trick!
20229,[2015-01-20 17:28:57] - Brock Nelson from Sharks has scored a Hat Trick!
20230,<font color="Red">[2015-01-20 17:28:57] - Game 692 - David Jones from Maple Leafs is injured  (Sprained Right Finger) and is out for 1 week.</font>
