Team Number,Prospect Name,Year,Overall Pick
10,Stefan Chaput,0, 0 
9,Jamie Tardif,0, 0 
23,Rob OGara,2011, 157 
10,Alexander Naurov,0, 0 
7,Peter Leblanc,0, 0 
13,Teemu Pulkkinen,2010, 48 
10,Tony Romano,0, 0 
12,Joe Vitale,0, 0 
21,Evgeni Dadonov,0, 0 
10,David Kuchejda,0, 0 
29,Austin Smith,0, 0 
10,Nick Johnson,0, 0 
7,Justin Faulk,2010, 49 
18,Jeff Frazee,0, 0 
20,Brett Ponich,2009, 77 
10,Chad Johnson,0, 0 
7,Thomas Hickey,0, 0 
19,Sebastian Wannstrom,2010, 50 
23,Joe Faust,2010, 51 
7,Luca Caputi,0, 0 
15,Alexander Urbom,2009, 78 
29,Chris Terry,0, 0 
10,Jamie Devane,2009, 79 
14,Mitch Fadden,0, 0 
20,Kyle Bailey,0, 0 
28,Taylor Beck,2009, 80 
3,Alexander Nikulin,0, 0 
19,Patrik Nemeth,2010, 52 
20,Ryan Oulahan,0, 0 
19,Mikael Johansson,0, 0 
9,Ondrej Roman,0, 0 
26,Brett Bulmer,2010, 53 
20,Francis Lemieux,0, 0 
21,Gabriel Beaupre,2011, 158 
15,Dale Mitchell,0, 0 
5,Edward Wittchow,2011, 159 
23,Rhett Rakhshani,0, 0 
11,Danny Hobbs,0, 0 
19,Matt Marshall,0, 0 
11,Ryan Raven,0, 0 
18,Jeff Zatkoff,0, 0 
26,Ryan Spooner,2010, 54 
3,Brett Bennett,0, 0 
18,Alex Plante,0, 0 
17,Mark Mitera,0, 0 
11,Juraj Mikus,0, 0 
7,Michael Lee,2009, 82 
1,Martin Marincin,2010, 55 
27,Michael Bournival,2010, 56 
7,Jordan Weal,2010, 57 
16,Stanislav Galiev,2010, 58 
24,Matt Mahalak,2011, 160 
3,Daniel Pribyl,2011, 161 
11,Pierre-Olivier Beaulieu,0, 0 
30,Ben Winnett,0, 0 
20,Sondre Olden,2010, 59 
4,Cody Eakin,2009, 83 
