Number,Transaction,DateTime,Empty
20122,Jaret Anderson-Dolan of Capitals was sent to farm.,2021-12-05 9:44:55 AM,
20123,Wolves lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20124,Mariners lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20125,Zac Dalpe(Red Wings) cleared from waivers and was sent to down farm.,2021-12-05 9:44:55 AM,
20126,Christian Jaros(Kraken) cleared from waivers and was sent to down farm.,2021-12-05 9:44:55 AM,
20127,Marc-Edouard Vlasic from Kraken is back from Herniated Disc Injury.,2021-12-05 9:44:56 AM,
20128,Nathan Beaulieu from Flyers is back from Bruised Right Leg Injury.,2021-12-05 9:44:56 AM,
20129,Josh Manson from Red Wings is back from Sprained Left Ankle Injury.,2021-12-05 9:44:56 AM,
20130,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-05 9:45:00 AM,
20131,Wild are expected to be under the minimum salary cap by $9-504-295!,2021-12-05 9:45:01 AM,
20132,Senators are expected to be under the minimum salary cap by $4-042-052!,2021-12-05 9:45:02 AM,
20133,Flyers are expected to be over the salary cap by $56-574!,2021-12-05 9:45:03 AM,
20134,Capitals are expected to be under the minimum salary cap by $3-871-558!,2021-12-05 9:45:03 AM,
20135,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-05 9:46:59 AM,
20136,Wild are expected to be under the minimum salary cap by $9-504-295!,2021-12-05 9:47:00 AM,
20137,Senators are expected to be under the minimum salary cap by $4-042-052!,2021-12-05 9:47:01 AM,
20138,Flyers are expected to be over the salary cap by $56-574!,2021-12-05 9:47:02 AM,
20139,Capitals are expected to be under the minimum salary cap by $3-871-558!,2021-12-05 9:47:03 AM,
20140,Hurricanes paid $0 to release Michael Houser.,2021-12-06 8:30:53 AM,
20141,Michael Houser was released by Hurricanes.,2021-12-06 8:30:53 AM,
20142,Dylan Sikura was created.,2021-12-06 8:39:20 AM,
20143,Dylan Sikura was added to Blackhawks.,2021-12-06 8:40:23 AM,
20144,Dillon Simpson was added to Oilers.,2021-12-06 8:40:34 AM,
20145,Alex Petrovic was added to Oilers.,2021-12-06 8:40:40 AM,
20146,Joel Hanley was added to Red Wings.,2021-12-06 8:40:56 AM,
20147,Kraken placed Dean Kukan on waivers.,2021-12-06 8:41:30 AM,
20148,Dean Kukan of Kraken was sent down to farm.,2021-12-06 8:41:33 AM,
20149,Jaret Anderson-Dolan of Capitals was sent to pro.,2021-12-06 8:41:33 AM,
20150,Successfully loaded Stars lines done with Web Base Client and SQLite Database.,2021-12-06 8:41:33 AM,
20151,Successfully loaded Predators lines done with Web Base Client and SQLite Database.,2021-12-06 8:41:33 AM,
20152,Successfully loaded Senators lines done with Web Base Client and SQLite Database.,2021-12-06 8:41:33 AM,
20153,Successfully loaded Penguins lines done with Web Base Client and SQLite Database.,2021-12-06 8:41:33 AM,
20154,Successfully loaded Capitals lines done with Web Base Client and SQLite Database.,2021-12-06 8:41:33 AM,
20155,Successfully loaded Kraken lines done with Web Base Client and SQLite Database.,2021-12-06 8:41:33 AM,
20156,Rasmus Sandin of Ducks was sent down to farm.,2021-12-06 8:41:44 AM,
20157,Successfully loaded Ducks lines done with STHS Client - 3.2.6.6,2021-12-06 8:41:44 AM,
20158,Jake Bean of Flames was sent to pro.,2021-12-06 8:41:44 AM,
20159,Successfully loaded Flames lines done with STHS Client - 3.3.1.1,2021-12-06 8:41:44 AM,
20160,Avalanche roster errors : Not enough Forward available in Pro Team! 11 Dressed. 12 Required.
Not enough Goalie available in Pro Team! 1 Dressed. 2 Required.
Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-06 8:41:45 AM,
20161,Auto Roster Partial Function has been run for Avalanche.,2021-12-06 8:41:45 AM,
20162,Auto Lines Partial Function has been run for Avalanche.,2021-12-06 8:41:45 AM,
20163,Wild roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 1 Dressed. 2 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-06 8:41:45 AM,
20164,Alexander Romanov of Wild was sent to pro.,2021-12-06 8:41:45 AM,
20165,Auto Roster Partial Function has been run for Wild.,2021-12-06 8:41:45 AM,
20166,Wild lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 4 Defense #4 is empty.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Defense #3 is empty.
OT Defense #1 is empty.
Backup Goalie is empty.
,2021-12-06 8:41:45 AM,
20167,Auto Lines Partial Function has been run for Wild.,2021-12-06 8:41:45 AM,
20168,Sharks roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 1 Dressed. 2 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-06 8:41:45 AM,
