Number,Transaction
4 vs 4 line 1 C is empty.
4 vs 4 line 1 LW is empty.
PK3 line 1 forward is empty.
Unknown Player is used twice in PP line#1
Unknown Player is used twice in 4 vs 4 line#1
PK line 2 C is empty.
PK3 line 2 forward is empty.
LastMinOff line C is empty.
LastMinDef line C is empty.
LastMinOff line RW is empty.
LastMinDef line RW is empty.
Unknown Player is used twice in LastMinOff line
Unknown Player is used twice in LastMinDef line
Penalty Shot Player #1 is empty.
Penalty Shot Player #2 is empty.
Unknown Player is used twice in Extra Penalty Shot

20218,[2015-12-07 7:38:05 PM] - Auto Lines Partial Function has been run for Panthers.
20219,[2015-12-07 7:38:05 PM] - Pirates (Panthers) lines errors : Goalie 'Minimum # of Goals before Remove from Game' is incorrect.
Goalie 'Save PCT Under before Remove from Game' is incorrect.
Goalie 'When to remove the goalies from goal if trailing by 1 in third period (In second)' is incorrect.

20220,[2015-12-07 7:38:05 PM] - Auto Lines Farm Function has been run for Pirates.
20221,[2015-12-07 7:38:05 PM] - Wild (Wild) lines errors : Goalie 'Minimum # of Goals before Remove from Game' is incorrect.
Goalie 'Save PCT Under before Remove from Game' is incorrect.
Goalie 'When to remove the goalies from goal if trailing by 1 in third period (In second)' is incorrect.

20222,[2015-12-07 7:38:05 PM] - Auto Lines Farm Function has been run for Wild.
20223,[2015-12-07 7:38:05 PM] - Admirals (Predators) lines errors : Goalie 'Minimum # of Goals before Remove from Game' is incorrect.
Goalie 'Save PCT Under before Remove from Game' is incorrect.
Goalie 'When to remove the goalies from goal if trailing by 1 in third period (In second)' is incorrect.

20224,[2015-12-07 7:38:05 PM] - Auto Lines Farm Function has been run for Admirals.
20225,[2015-12-07 7:38:33 PM] - David Broll from Griffins has scored a Hat Trick!
20226,[2015-12-07 7:38:33 PM] - Brody Sutter from Griffins has scored a Hat Trick!
20227,[2015-12-07 7:38:33 PM] - Iiro Pakarinen from Comets has scored a Hat Trick!
20228,[2015-12-07 7:38:34 PM] - Michael Ryder from Bruins has scored a Hat Trick!
20229,[2015-12-07 7:38:34 PM] - John McCarthy from Wolf Pack has scored a Hat Trick!
20230,[2015-12-07 7:38:34 PM] - Anthony Peluso from Admirals has scored a Hat Trick!
20231,[2015-12-07 7:38:35 PM] - Game 386 - Jordie Benn from Stars is injured  (Bruised Left Shoulder) and is out for 1 week.
20232,[2015-12-07 7:38:36 PM] - Game 386 - Andy Greene from Oilers is injured  (Bruised Right Foot) and is out for 3 weeks.
20233,[2015-12-07 7:38:36 PM] - Ducks lines for next game are empty. Current rosters/lines are not erased.
20234,[2015-12-07 7:38:36 PM] - Bruins lines for next game are empty. Current rosters/lines are not erased.
20235,[2015-12-07 7:38:36 PM] - Brayden McNabb of Sabres was sent to farm.
20236,[2015-12-07 7:38:36 PM] - IceHogs lines for next game are empty. Current rosters/lines are not erased.
20237,[2015-12-07 7:38:36 PM] - Rampage lines for next game are empty. Current rosters/lines are not erased.
20238,[2015-12-07 7:38:36 PM] - Griffins lines for next game are empty. Current rosters/lines are not erased.
20239,[2015-12-07 7:38:36 PM] - Wild lines for next game are empty. Current rosters/lines are not erased.
20240,[2015-12-07 7:38:36 PM] - Icecaps lines for next game are empty. Current rosters/lines are not erased.
20241,[2015-12-07 7:38:36 PM] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20242,[2015-12-07 7:38:36 PM] - Wolf Pack lines for next game are empty. Current rosters/lines are not erased.
20243,[2015-12-07 7:38:36 PM] - Senators lines for next game are empty. Current rosters/lines are not erased.
20244,[2015-12-07 7:38:36 PM] - Coyotes lines for next game are empty. Current rosters/lines are not erased.
20245,[2015-12-07 7:38:36 PM] - Penguins lines for next game are empty. Current rosters/lines are not erased.
20246,[2015-12-07 7:38:36 PM] - Crunch lines for next game are empty. Current rosters/lines are not erased.
20247,[2015-12-07 7:38:36 PM] - Marlies lines for next game are empty. Current rosters/lines are not erased.
20248,[2015-12-07 7:38:36 PM] - Bears lines for next game are empty. Current rosters/lines are not erased.
20249,[2015-12-07 7:38:36 PM] - Phil Kessel from Devils is back from Bruised Right Foot Injury.
20250,[2015-12-07 7:38:41 PM] - Current fund for Jets is under $0.
20251,[2015-12-07 7:38:42 PM] - Maximum Farm Players Limit Reached for Americans!
20252,[2015-12-07 7:38:42 PM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20253,[2015-12-07 7:38:43 PM] - Current fund for Avalanche is under $0.
20254,[2015-12-07 7:38:44 PM] - Devils are expected to be over the salary cap by $2-557-500!
20255,[2015-12-07 7:38:44 PM] - Islanders are expected to be under the minimum salary cap by $2-106-667!
20256,[2015-12-07 7:39:39 PM] - Current fund for Jets is under $0.
20257,[2015-12-07 7:39:39 PM] - Maximum Farm Players Limit Reached for Americans!
20258,[2015-12-07 7:39:40 PM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20259,[2015-12-07 7:39:41 PM] - Current fund for Avalanche is under $0.
20260,[2015-12-07 7:39:43 PM] - Devils are expected to be over the salary cap by $2-557-500!
20261,[2015-12-07 7:39:44 PM] - Islanders are expected to be under the minimum salary cap by $2-106-667!
20262,[2015-12-08 7:10:50 PM] - Successfully loaded Bruins lines done with STHS Client - 2.3.1.1
20263,[2015-12-08 7:10:55 PM] - Successfully loaded Wild lines done with STHS Client - 2.3.2.2
