Team Number,Prospect Name,Year,Overall Pick
15,Hudson Fasching,2013,86
2,Joona Koppanen,2016,167
29,Nathan Smith,2018,109
19,Evan Cowley,2013,112
9,Michael Prapavessis,2014,119
8,Brendan Woods,2012,145
15,Kyle Wood,2014,91
21,Miles Gendron,2014,92
21,Blake Siebenaler,2014,93
18,Gianni Fairbrother,2019,86
4,Ryan Fitzgerald,2013,87
18,Leon Gawanke,2017,144
8,Liam Hawel,2017,145
28,Jeremy Davies,2016,168
3,Ethan Keppen,2019,87
28,Stepan Falkovsky,2016,169
1,Filip Kral,2018,110
31,Jordan Spence,2019,88
3,Cameron Clarke,2016,175
26,Andrei Svetlakov,2017,146
28,Konstantin Volkov,2016,176
2,Toni Utunen,2018,111
10,Matt Mahalak,2011,160
14,Colten Ellis,2019,89
2,Petrus Palmu,2017,147
8,Dmitri Semykin,2018,112
31,Adam Werner,2016,177
20,Sondre Olden,2010,59
3,Jan Drozg,2017,148
23,Jacob Peterson,2017,149
1,Vasily Glotov,2016,178
17,Dustin Wolf,2019,117
27,Linus Olund,2017,150
15,Connor Dewar,2018,113
30,Blade Jenkins,2018,114
7,Brett McKenzie,2016,179
10,Mac Bennett,2009,84
2,Matheson Iacopelli,2014,97
8,Ben Thomas,2014,98
11,Jacob Paquette,2017,151
25,Henri Nikkanen,2019,90
28,Curtis Douglas,2018,115
15,Casey Staum,2016,181
18,Ryan O'Reilly,2018,116
15,Aaron Huglen,2019,118
23,Jonathan Dugan,2017,152
29,Harrison Blaisdell,2019,91
10,Jase Weslosky,0,0
21,Dysin Mayo,2014,99
4,Logan Cockerill,2017,153
18,Tomas Vomacka,2017,154
17,Jason Kasdorf,2011,166
4,Jocktan Chainey,2017,155
10,Brent Pedersen,2013,113
31,Demetrios Koumontzis,2018,117
3,Matthew Thiessen,2018,194
30,Riley Damiani,2018,118
29,Michael Karow,2017,156
31,Tobias Geisser,2017,157
13,Christopher Clapperton,2013,115
31,Quinn Olson,2019,92
11,Collin Adams,2016,183
15,Beau Starrett,2014,100
5,Jake Pivonka,2018,119
28,Brandon Crawley,2017,158
3,Erik Portillo,2019,93
22,Olle Lycksell,2017,159
9,Giovanni Vallati,2018,123
26,Patrik Westerholm,2011,170
2,Beck Malenstyn,2016,185
2,Matias Maccelli,2019,94
19,Vladislav Kara,2017,160
5,Ryan Jones,2016,186
31,Ethan Phillips,2019,95
21,Gilles Senn,2017,161
21,Reece Scarlett,2011,173
13,Jakob Stenqvist,2016,187
11,Reece Willcox,2012,166
14,Tyler Bird,2014,121
22,Linus Weissbach,2017,162
3,Matej Blumel,2019,96
20,Garret Ross,2012,169
29,Max Gortz,2012,170
14,Fedor Gordeev,2017,163
31,Arnaud Durandeau,2017,164
31,Justin Almeida,2018,124
27,Jack Adams,2017,165
26,Luc Snuggerud,2014,122
5,Shane Eiserman,2014,123
21,Alexander Kadeikin,2014,124
21,Grant Besse,2013,118
29,C.J. Suess,2014,155
20,Joachim Blichfeld,2016,188
1,Anthony Salinitri,2016,189
24,Aarne Talvitte,2017,166
14,Jordan Hollett,2017,167
25,Niclas Almari,2016,190
23,Filip Larsson,2016,191
29,Michael Pezzetta,2016,192
3,Michal Teply,2019,97
3,Gabriel Fontaine,2016,193
2,Hugo Alnefelt,2019,98
19,Mac Hollowell,2018,125
17,Tyler Weiss,2018,126
12,Paul Cotter,2018,127
19,Colin Smith,2012,181
25,Petteri Lindbohm,2012,183
6,Yegor Spiridonov,2019,99
22,Zach Fischer,2017,168
24,Skyler Brind'Amour,2017,169
3,Brandon Saigeon,2018,128
30,Mattias Lindstrom,2009,91
9,Aaron Irving,2014,127
5,Patrick Kudla,2016,194
28,John Ludvig,2019,100
15,Jachym Kondelik,2018,129
14,Arvid Holm,2017,170
22,Alexis Gravel,2018,130
8,Dominik Lakatos,2017,171
29,Pavel Kraskovsky,2014,128
14,Noah Carroll,2016,196
22,Nick Swaney,2017,172
14,Ryan O'Connell,2017,173
18,Filip Sveningsson,2017,174
10,Gleason Fournier,2009,92
12,John St. Ivany,2018,131
10,Mark Shoemaker,2016,197
31,Lenni Killinen,2018,132
3,Lucas Feuk,2019,101
31,Mason Millman,2019,102
13,Miguel Fidler,2014,156
24,Calle Sjalin,2017,175
21,Henri Ikonen,2013,120
28,Ryder Donovan,2019,103
14,Peter Ceresnak,2011,184
8,Merrick Madsen,2013,174
20,Francis Perron,2014,131
24,Kirill Tyutyayev,2019,181
28,Akira Schmid,2018,133
17,Dennis Robertson,2011,185
31,Mikhail Abramov,2019,104
23,Dean Stewart,2016,198
1,Angus Crookshank,2018,134
30,Henry Thrun,2019,105
29,Tuukka Tieksola,2019,106
18,Ryan Lohin,2016,200
22,Jermaine Loewen,2018,195
13,David Pope,2013,121
18,Domenick Fensore,2019,107
2,Leevi Aaltonen,2019,108
3,Nikolaj Krag Christensen,2016,201
11,Jake Bischoff,2012,196
27,Mikael Hakkarainen,2018,135
1,Matvey Guskov,2019,109
3,Dmitriy Zaitsev,2016,202
29,Spencer Stastney,2018,136
8,Brett Davis,2017,176
3,Jacob Golden,2017,177
10,Teemu Eronen,2011,193
8,Vincent Desharnais,2016,203
31,Cole Guttman,2017,178
5,Colin Blackwell,2011,195
9,Lauri Pajuniemi,2018,137
27,Jakub Galvas,2017,179
13,Filip Helt,2016,204
18,Linus Lindstrand Kronholm,2018,138
6,Nikolai Kovalenko,2018,139
26,Arvid Henrikson,2016,205
2,Adam Smith,2016,206
26,Edgars Kulda,2014,136
15,Sam Lafferty,2014,137
3,Yegor Sharangovich,2018,140
14,Fabrice Herzog,2013,122
31,Sasha Mutala,2019,119
6,Semyon Chystyakov,2019,132
20,Henry Rybinski,2019,110
12,Samuel Ersson,2018,141
19,Jackson Perbix,2018,142
12,Maxwell Willman,2014,139
28,Sebastian Walfridsson,2017,180
10,Jamie Phillips,2012,205
2,Joonas Lyytinen,2014,140
3,Erik Walli-Walterholm,2017,181
4,Marshall Warren,2019,111
26,Austin Osmanski,2016,207
3,Victor Berglund,2017,182
28,Jiri Patera,2017,183
19,Dmitry Voronkov,2019,120
21,Benjamin Finkelstein,2016,208
17,Brayden Chizen,2016,209
8,Reid Duke,2014,142
29,Jacob McGrew,2017,184
12,David Hrenak,2018,143
24,Morgan Barron,2017,185
28,Nick Campoli,2017,186
14,Antoine Bibeau,2013,126
28,Brendan De Jong,2017,187
29,Cole Ully,2013,127
31,Cole Hults,2017,188
2,Patrik Virta,2017,189
30,Viktor Lodin,2019,121
30,Nicolas Meloche,2015,49
7,Andrei Popov,0,0
30,Reilly Webb,2017,190
18,Cole Schwindt,2019,122
31,Nicholas Porco,2019,123
17,Zachary Pochiro,2013,132
20,Vladislav Yeryomenko,2018,144
5,Benton Maass,2017,191
30,Calvin Petersen,2013,134
15,Teemu Kivihalme,2013,135
21,Jeremy Gregoire,2013,136
31,Reece Newkirk,2019,124
1,Mattias Emilio Pettersen,2018,145
19,Nikolas Koberstein,2014,145
7,Skyler McKenzie,2017,192
14,Marc McNulty,2013,138
11,Robin Kovacs,2015,51
19,Tyler Ganly,2013,139
14,Nolan Vesey,2014,146
11,Kristoffer Gunnarsson,2017,193
2,Marcus Kallionkieli,2019,125
15,Shane Gersich,2014,148
25,Mathias Laferriere,2018,146
22,Carson Meyer,2017,194
22,Kristian Roykas-Marthinsen,2017,195
28,Jonathan Davidsson,2017,196
24,Brady Gilmour,2017,197
15,Xavier Bouchard,2018,147
19,Rushan Rafikov,2013,145
14,Jack Gorniak,2018,148
22,Marc Del Gaizo,2019,126
31,Nicklaus Perbix,2017,198
31,Philip Kemp,2017,199
3,Robbie Stucker,2017,200
3,Ryan McGregor,2017,201
3,Ivan Nalimov,2014,150
25,Daniel Bukac,2017,202
5,Damian Giroux,2018,149
5,Alex Green,2018,150
8,Cade Webber,2019,127
30,Carter Berger,2019,128
28,Cedric Pare,2017,203
2,Judd Caulfield,2019,129
20,Connor Corcoran,2018,151
14,Pierre Engvall,2014,151
15,Eric Ciccolini,2019,133
20,Dennis Busby,2018,152
23,Trenton Bourque,2017,204
4,Rhett Pitlick,2019,134
7,Wyatte Wylie,2018,153
2,Ville Rasanen,2017,205
17,Aaron Harstad,2011,209
23,Ivan Prosvetov,2018,154
20,Robin Norell,2013,152
3,Antti Palojarvi,2017,206
28,Nick Leivermann,2017,207
20,Louis-Marc Aubry,2010,84
9,Filip Lindberg,2019,135
17,Anton Andersson,2017,208
4,Sean Malone,2013,156
2,Ryan Gropp,2015,53
21,Jakov Novak,2018,196
27,Yegor Zaitsev,2017,209
17,Terrance Amorosa,2013,159
24,Gabriel Gagne,2015,54
5,Liam Coughlin,2014,159
31,Brandon Kruse,2018,155
27,Josh Ess,2017,210
28,Matt Brassard,2017,211
