Number,Transaction
20245,<font color="Black">[2/12/2013 4:49:58 PM] - Auto Lines Partial Function has been run for Penguins.</font>
20246,[2/12/2013 4:49:58 PM] - Penguins lines errors : Tom Gilbert is used twice in PP lines 1 and 2.
Karl Alzner is used twice in PP lines 1 and 2.
Tom Gilbert is used twice in PK lines 1 and 2.
Karl Alzner is used twice in PK lines 1 and 2.
Tom Gilbert is used twice in 4vs4 lines 1 and 2.
Karl Alzner is used twice in 4vs4 lines 1 and 2.
Tom Gilbert is used twice in PK3 lines 1 and 2.
Karl Alzner is used twice in PK3 lines 1 and 2.

20247,<font color="Black">[2/12/2013 4:49:58 PM] - Auto Lines Function has been run for Penguins.</font>
20248,<font color="Maroon">[2/12/2013 4:50:13 PM] - Pavel Kubina from Penguins completes suspension</font>
